season,date,home_team,away_team,home_goals,away_goals,home_xg,away_xg,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_ppda,away_ppda,home_deep,away_deep,Result,home_points,away_points,home_rolling_goals_created,away_rolling_goals_created,home_rolling_goals_conceded,away_rolling_goals_conceded,home_rolling_xg_created,away_rolling_xg_created,home_rolling_xg_conceded,away_rolling_xg_conceded,home_rolling_ppda_created,away_rolling_ppda_created,home_rolling_ppda_conceded,away_rolling_ppda_conceded,home_rolling_winrate,away_rolling_winrate,home_rolling_xg_home_only,away_rolling_xg_away_only,home_rolling_goals_home_only,away_rolling_goals_away_only,points_diff,rolling_xG_diff,rolling_ppda_diff,rolling_goals_diff,rolling_winrate_diff,home_squad_value,away_squad_value,squad_value_ratio,squad_value_diff,target
2016/17,2016-09-24,Dijon,Rennes,3,0,1.9138,1.1124,14,19,5,4,19.5,8.7037,7,8,H,4.0,10.0,1.0,1.6,1.8,1.2,1.06112,0.8925000000000001,1.39072,1.22056,13.81296,10.99124,11.124379999999999,9.22488,0.2,0.6,,,,,-6.0,0.16862,2.821720000000001,-0.6000000000000001,-0.39999999999999997,31200000.0,80900000.0,0.3856613102595797,-49700000.0,0
2016/17,2016-09-24,Bordeaux,Caen,0,0,0.8548,0.384,12,13,2,4,5.9545,14.05,1,4,D,12.0,6.0,1.6,0.6,1.2,2.4,1.3642600000000003,0.96198,0.9807799999999999,1.7517,10.48772,11.54904,9.608319999999999,9.89316,0.6,0.2,,,,,6.0,0.4022800000000003,-1.0613200000000003,1.0,0.39999999999999997,88900000.0,36650000.0,2.4256480218281036,52250000.0,1
2016/17,2016-09-24,SC Bastia,Guingamp,1,0,0.9806,0.0771,11,3,6,3,2.5263,4.9512,5,1,H,7.0,11.0,1.0,1.4,0.8,0.8,0.87704,1.22086,1.03454,0.95404,11.77772,16.14556,7.03498,7.63894,0.4,0.6,,,,,-4.0,-0.34382,-4.367839999999999,-0.3999999999999999,-0.19999999999999996,36450000.0,42500000.0,0.8576470588235294,-6050000.0,0
2016/17,2016-09-24,Lorient,Lyon,1,0,1.5113,1.416,11,18,2,8,12.9375,8.9524,4,9,H,3.0,10.0,0.2,2.0,1.6,1.6,0.7976600000000001,1.90598,1.32394,1.06642,11.49844,7.336799999999999,15.027800000000003,15.26088,0.2,0.4,,,,,-7.0,-1.10832,4.161640000000001,-1.8,-0.2,61100000.0,211350000.0,0.2890939200378519,-150250000.0,0
2016/17,2016-09-24,Montpellier,Metz,0,1,1.5512,1.0924,16,4,2,3,3.0,8.8,11,0,A,6.0,10.0,1.0,1.0,2.2,1.2,1.0935799999999998,0.8356999999999999,1.34436,1.9167200000000002,11.72878,16.45288,8.62376,8.44302,0.0,0.4,,,,,-4.0,0.2578799999999999,-4.7241,0.0,-0.4,60950000.0,37550000.0,1.6231691078561918,23400000.0,2
2016/17,2016-09-24,Monaco,Angers,2,1,1.2132,1.7554,14,11,4,4,8.7083,19.6667,3,11,H,13.0,9.0,2.2,1.2,1.2,1.0,1.2538,1.0766,0.9055199999999999,0.9064,9.45866,12.51536,10.81474,11.6935,0.8,0.6,,,,,4.0,0.17720000000000002,-3.0566999999999993,1.0000000000000002,0.20000000000000007,309550000.0,46080000.0,6.717664930555555,263470000.0,0
2016/17,2016-09-25,Nancy,Nice,0,1,1.3374,0.8318,16,13,0,4,9.0652,10.0476,4,1,A,5.0,14.0,0.6,2.0,1.0,0.8,0.7065400000000001,1.99636,0.9980800000000001,1.42782,10.361720000000002,12.96162,11.85038,8.718779999999999,0.2,0.6,,,,,-9.0,-1.2898199999999997,-2.599899999999998,-1.4,-0.39999999999999997,33100000.0,132800000.00000001,0.2492469879518072,-99700000.00000001,2
2016/17,2016-09-25,Marseille,Nantes,2,1,2.0157,1.0677,14,13,5,4,7.4286,8.5385,2,5,H,5.0,5.0,1.4,0.2,1.6,1.2,1.2944600000000002,1.1319199999999998,1.53898,0.8173400000000001,6.8484,8.989899999999999,7.703880000000001,9.65812,0.2,0.0,,,,,0.0,0.16254000000000035,-2.141499999999999,1.2,0.2,119650000.0,50900000.0,2.350687622789784,68750000.0,0
2016/17,2016-09-25,Saint-Etienne,Lille,3,1,1.2581,0.9185,9,12,3,3,6.1818,18.2105,8,7,H,9.0,4.0,1.0,0.8,0.4,1.6,1.0474,0.65192,1.40312,1.29934,8.26656,8.6451,11.84696,12.58276,0.4,0.2,,,,,5.0,0.39548000000000005,-0.3785399999999992,0.19999999999999996,0.2,85030000.0,83900000.0,1.0134684147794994,1130000.0,0
2016/17,2016-09-30,Rennes,Guingamp,1,0,1.6356,0.3972,13,6,3,1,4.6944,16.8421,5,3,H,10.0,11.0,1.2,1.0,1.8,0.8,1.02348,0.9869,1.4096,1.00616,9.10698,14.728399999999999,11.138679999999999,7.378479999999999,0.4,0.4,,,,,-1.0,0.036579999999999946,-5.621419999999999,0.19999999999999996,0.0,80900000.0,42500000.0,1.903529411764706,38400000.0,0
